cod_est,zona,x,y,altura,municipio
TP73,Los Infiernos,682041,4188284,92,Torre Pacheco
CI42,La Carrichosa,631510,4238383,244,Cieza
JU12,Cª del Judio,637690,4250801,395,Jumilla
LO51,Tebar,621649,4149877,329,Aguilas
CR12,Barranda,589496,4211178,869,Caravaca
ML12,Yechar,637771,4214288,264,Mula
TP22,Santiago de la Ribera,691976,4184939,7,San Javier
TP52,El Mirador,686200,4191066,91,San Javier
MU62,La Alberca,663907,4200807,56,Murcia
JU81,Aljunzarejo,646487,4242618,341,Jumilla
ML21,Mula,634545,4211477,276,Mula
MO41,Abanilla,669458,4226450,162,Abanilla
CA42,Balsapintada,664813,4179533,138,Fuente Alamo
CA21,Corvera,665200,4188754,227,Murcia
CI32,Ulea,652564,4228485,236,Ulea
CR42,Moratalla,603922,4228300,456,Moratalla
LO31,Aguilas,624577,4142248,31,Aguilas
LO41,La Paca,604000,4190456,693,Lorca
MO51,Fortuna,661841,4225294,197,Fortuna
MO12,Torres de Cotillas,649024,4207948,161,Torres de Cotillas
CA52,La Aljorra,670129,4171693,84,Cartagena
LO11,Purias,620981,4162511,324,Lorca
AL31,Totana,631023,4177172,236,Totana
LO21,Pozohiguera,615444,4151563,356,Lorca
MU21,La Basca,675540,4211532,27,Beniel
JU42,Yecla-Las Moratillas,657843,4280492,658,Yecla
TP91,Torre Pacheco,677368,4179725,56,Torre Pacheco
CA12,UPCT-La Palma,680675,4173267,30,Cartagena
CR61,Casas del Rey,579236,4218905,1232,Moratalla
AL41,Alhama Valle,639400,4183940,169,Alhama
JU52,Yecla - Pinillos,664448,4269943,567,Yecla
JU71,Las Encebras,653633,4250840,401,Jumilla
CA91,El Campillo,655332,4173881,175,Fuente Alamo
LO61,Puerto Lumbreras,612515,4161142,319,Puerto Lumbreras
MU52,Cañada de San Pedro,677062,4205239,125,Murcia
CR32,El Chaparral,615466,4218939,433,Cehegin
CR52,Cehegín,606972,4218110,507,Cehegin
CI22,Estación de Blanca,647931,4233289,282,Blanca
CI52,Calasparra,614203,4234746,275,Calasparra
AL62,Cañada Gallego,641224,4158438,94,Mazarrón
MO22,Campotejar,655954,4221455,146,Molina Segura
MU31,Sangonera La Verde,652257,4195930,140,Murcia
MO31,El Llano,654935,4215181,80,Molina Segura
TP42,Torre Blanca,685074,4182798,31,Torre Pacheco
AL91,La Morera,643080,4164288,112,Mazarrón
CI71,Llano de las olivericas,623780,4236664,282,Calasparra
CA73,Los Belones,693847,4164941,92,Cartagena
MO62,Loma del Aire,645574,4219690,206,Ojós
AL52,Librilla,648642,4195008,125,Librilla
JU62,Miraflores,644142,4261021,547,Jumilla
